seed,member,horizon,loss_estimate,loss_lower,loss_upper,leakage_count,leakage_lower,leakage_upper,survival,hop_mae,asymmetry_mae,status
0,equilibrium,equilibrium,0.045447961859117966,0.03870481300309454,0.052777417779950375,19249,0.5760784201609875,0.5987238909291104,0.03543297790075379,0.0035276547628114983,0.007055309525622999,fail
0,frozen,1,0.22666655921691317,0.21996186608083942,0.23304805330789216,27302,0.8244914221947031,0.8416486163684948,4.160160425530484e-09,0.1042369509905797,0.0667078992757758,fail
0,frozen,2,0.21889767573593677,0.211872629764147,0.22563594093551617,26961,0.8138809791973568,0.8314536369701426,3.605613063972932e-06,0.07216612952971348,0.048751300196650395,fail
0,frozen,4,0.18854259371329402,0.18056473103714804,0.19641760679776393,25228,0.7601165086217678,0.7794826041126661,0.0004039213496578983,0.0398724355031424,0.029038010877383613,fail
0,frozen,8,0.13059408512638468,0.1219910704222478,0.13939505774743594,22623,0.679695595559982,0.7009646382793322,0.006464892899500193,0.016692015358210133,0.013538042659861933,fail
0,frozen,16,0.06883039892055876,0.06117126704337831,0.07697337647159294,20193,0.6050142664603221,0.6273843364207731,0.023862513477415328,0.006151592527836396,0.007875004599534361,fail
0,frozen,30,0.04939348364619107,0.04248619460944459,0.05686954622416612,19326,0.5784371389779417,0.6010631747813973,0.0332113266611904,0.0038048340270673874,0.007175291709951759,fail
0,frozen,equilibrium,0.047325210623487476,0.04049527361860753,0.054733022398212164,19251,0.5761396822206606,0.5987846549129034,0.03486478110519601,0.0034710687472996903,0.006942137494599382,fail
1,finite,1,0.22814763589575987,0.221519916831218,0.23444273350591038,27408,0.827792087099773,0.8448153256696186,4.163823370646419e-09,0.10426549602910497,0.0667174345735799,fail
1,finite,2,0.22101175531221653,0.21406140153227138,0.22766287470193397,27146,0.8196359409257572,0.8369860747799747,3.6236884527143954e-06,0.07219334614613211,0.04880986649990574,fail
1,finite,4,0.19069015580104648,0.1827656477276723,0.19849863997991032,25341,0.7636149863005288,0.7828785948827064,0.0004100675771949423,0.03989852169286835,0.02916176091076532,fail
1,finite,8,0.13018313341883092,0.12159916163664364,0.13895494835340577,22733,0.6830833888357157,0.7042882763753364,0.006673743168950947,0.016694691012074454,0.01377750603333245,fail
1,finite,16,0.0682076659401494,0.06056087490484576,0.07632429033130286,20283,0.6077751184176676,0.630114656264303,0.024473259385375524,0.0061553316935694805,0.008100198008532317,fail
1,finite,30,0.05051920577236076,0.04354069248774736,0.05805085314932175,19436,0.5818071995880616,0.6044045465405654,0.03378950780962419,0.003844325483135365,0.007318467324805026,fail
1,equilibrium,1,0.22767721976348404,0.2210277249010355,0.23399419320571466,27420,0.8281658215435697,0.845173746780419,4.191770085062663e-09,0.10425810146707963,0.066693036721367,fail
1,equilibrium,2,0.22084662169219535,0.21389261664286743,0.22750014541680041,27139,0.8194181242892423,0.8367768006354261,3.6531815596890615e-06,0.07218371411414501,0.048882695235037917,fail
1,equilibrium,4,0.19070236103734528,0.18277517534753,0.1985146799576933,25359,0.7641723514405815,0.7834194636431422,0.0004119960156952868,0.039885024523272895,0.029189019970727738,fail
1,equilibrium,8,0.13089133787507137,0.12230480623840248,0.13966337007719412,22745,0.6834530061417343,0.7046508152157562,0.006611137195028707,0.016700617378941116,0.013714787028747538,fail
1,equilibrium,16,0.06888073452194192,0.06121145622078302,0.07701810868892517,20251,0.6067934389233431,0.6291439191202357,0.02431289029893684,0.006163362557253894,0.008040169997969472,fail
1,equilibrium,30,0.05072785956628226,0.043735094416360476,0.058273168837056834,19463,0.5826344796211489,0.6052246180861939,0.03376709511698712,0.0038460636573243987,0.007308897465791752,fail
1,equilibrium,equilibrium,0.048230920331323195,0.04134403730991542,0.0556788094789097,19380,0.5800914643038861,0.6027035526208522,0.03543538793077626,0.0035295460479958622,0.0070590920959917244,fail
1,frozen,1,0.22817599575082098,0.2215482781277479,0.23447039158048644,27418,0.8281035314115477,0.8451140109869036,4.160160425530484e-09,0.1042369509905797,0.0667078992757758,fail
1,frozen,2,0.22124698414111907,0.2143082781841755,0.22788498751065242,27139,0.8194181242892423,0.8367768006354261,3.605613063972932e-06,0.07216612952971348,0.048751300196650395,fail
1,frozen,4,0.1917075034170819,0.18380888777800633,0.1994856643318193,25382,0.7648845746778318,0.7841105392739715,0.0004039213496578983,0.0398724355031424,0.029038010877383613,fail
1,frozen,8,0.13279476823801228,0.12420872832526146,0.14155887369125975,22784,0.684654316779703,0.7058290120492884,0.006464892899500193,0.016692015358210133,0.013538042659861933,fail
1,frozen,16,0.071643251192425,0.06389090931198733,0.07985110251386188,20359,0.6101067989420427,0.6324199652474615,0.023862513477415328,0.006151592527836396,0.007875004599534361,fail
1,frozen,30,0.05297136373651536,0.045888922833071666,0.060597161094779896,19565,0.5857600570325807,0.6083223688506153,0.0332113266611904,0.0038048340270673874,0.007175291709951759,fail
1,frozen,equilibrium,0.050087026769052655,0.043122438501051116,0.05760495746192435,19487,0.5833698672792507,0.6059535429415476,0.03486478110519601,0.0034710687472996903,0.006942137494599382,fail
2,finite,1,0.22715401189342196,0.2204731603257587,0.23350788111199974,27362,0.8263595789529055,0.8434412374936018,4.1624642269846534e-09,0.10426316197447728,0.0667162168535063,fail
2,finite,2,0.22135618268706259,0.21442435879675034,0.22799073915882395,27088,0.8178313213861546,0.835251942103943,3.6227375894591727e-06,0.0721946736042928,0.04880424584401282,fail
2,finite,4,0.18993930573096465,0.1819860314483124,0.19778276103084402,25266,0.7612928849422431,0.7806247216208342,0.0004095071087268551,0.03989681357871754,0.029155247174464625,fail
2,finite,8,0.1277852095709001,0.1191814323173187,0.13659344723867564,22485,0.6754463800733312,0.6967940579720237,0.006678517199453665,0.01668818100967526,0.013774631476301208,fail
2,finite,16,0.06645181286484567,0.05882694252602166,0.07457503285021505,20202,0.6052903346837514,0.6276573853781813,0.02448523261795774,0.006158707206350617,0.008110549378920189,fail
2,finite,30,0.04945374787270513,0.042498372764766396,0.05698105510115661,19431,0.5816540031911319,0.6042526778302013,0.03377566472716781,0.003844152512750853,0.007316122172030837,fail
2,equilibrium,1,0.22716215773679674,0.22048173886406638,0.2335159464525577,27371,0.8266398348071511,0.8437100983149737,4.193226086350266e-09,0.10425967099691257,0.06669847115365575,fail
2,equilibrium,2,0.2211314468074271,0.2141917199378585,0.22777494503203136,27098,0.8181424389203907,0.8355509542668451,3.65462713589079e-06,0.07218525681140099,0.04888092349578288,fail
2,equilibrium,4,0.18968045043178774,0.18171679733211463,0.19753527530335305,25248,0.7607356411124603,0.7800837315335358,0.0004119280710209151,0.039886156205184355,0.0291917146349863,fail
2,equilibrium,8,0.1284425955076783,0.1198236643930888,0.13726710277594112,22548,0.6773861122253868,0.6986981456488526,0.006608715824378574,0.01670082559801809,0.013712603271545694,fail
